                                                                                                      SCHEDULE 1


                                                                            iTraxx® Europe Series 20                              Fixed Rate
                                                                            Roll Date: 20th September 2013                        Where Scheduled Termination Date is 20th December 2016           1.00%
                                                                            Version 1, Annex Date 18th September 2013             Where Scheduled Termination Date is 20th December 2018           1.00%
                                                                            www.markit.com                                        Where Scheduled Termination Date is 20th December 2020           1.00%
                                                                                                                                  Where Scheduled Termination Date is 20th December 2023           1.00%

                                                                                          Reference Obligation
                                Reference Entity                                   ISIN            Maturity             Coupon           Sector                   Weighting                    CLIP
OF CAUSE, IN THE INFORMATION AVAILABLE ON THIS DOCUMENT OR FOR ANY DAMAGES (WHETHER DIRECT OR INDIRECT) RESULTING THEREFROM. UNDER NO CIRCUMSTANCES WILL MARKIT GROUP LIMITED BE LIABLE FOR ANY INDIRECT,
INCIDENTAL, SPECIAL, CONSEQUENTIAL OR LOST PROFITS DAMAGES WITH RESPECT TO THE USE OF THIS DOCUMENT OR THE INFORMATION AVAILABLE HEREIN, REGARDLESS OF WHETHER SUCH DAMAGES COULD HAVE BEEN FORESEEN OR
PREVENTED.
                                                                                                           iTraxx® Europe Sub Financials Series 20                                    Fixed Rate
                                                                                                           Roll Date: 20th September 2013                                             Where Scheduled Termination Date is 20th December 2018                                           5.00%
                                                                                                           Version 1, Annex Date 18th September 2013                                  Where Scheduled Termination Date is 20th December 2023                                           5.00%
                                                                                                           www.markit.com


                                                                                                                                            Reference Obligation
                                          Reference Entity                                                                         ISIN                       Maturity                     Coupon                             Sector                         Weighting             CLIP
Aegon N.V.                                                                                                                  US007924AD52                           15-Aug-2006             8.000%              European Subordinated Insurer                   4.00%          007GB6AC6
Allianz SE                                                                                                                  XS0159527505                           13-Jan-2025             6.500%              European Subordinated Insurer                   4.00%          DD359MAB2
ASSICURAZIONI GENERALI - SOCIETA PER AZIONI                                                                                 XS0802638642                            10-Jul-2042            10.125%             European Subordinated Insurer                   4.00%           0E996BAE1
AVIVA PLC                                                                                                                   XS0177448015                           02-Oct-2023             5.750%              European Subordinated Insurer                   4.00%          GG6EBTAC0
AXA                                                                                                                         XS0122028904                           15-Dec-2020             7.125%              European Subordinated Insurer                   4.00%          FF667MAC0
BANCO SANTANDER, S.A.                                                                                                       XS0201169439                           30-Sep-2019             4.500%                         Financial Sub                        4.00%          EFAGG9AD1
BARCLAYS BANK PLC                                                                                                           XS0187033864                           04-Mar-2019             4.500%                         Financial Sub                        4.00%          06DABKAF1
BNP PARIBAS                                                                                                                 XS0320303943                           07-Sep-2017             5.431%                         Financial Sub                        4.00%           05ABBFAK4
COMMERZBANK Aktiengesellschaft                                                                                             DE000CB83CE3                            22-Mar-2019             6.375%                         Financial Sub                        4.00%          2C27EGAH7
CREDIT AGRICOLE SA                                                                                                          XS0550466469                           19-Apr-2021             3.900%                         Financial Sub                        4.00%          FH49GGAH4
Credit Suisse Group Ltd                                                                                                     XS0118514446                           05-Oct-2020             7.000%                         Financial Sub                        4.00%          HK9FHLAE1
DEUTSCHE BANK AKTIENGESELLSCHAFT                                                                                           DE000DB5DCW6                            24-Jun-2020             5.000%                         Financial Sub                        4.00%           2H6677AM1
Hannover Rueck SE                                                                                                           XS0187043079                           26-Feb-2024             5.750%              European Subordinated Insurer                   4.00%           4F16FDAA2
HSBC BANK PLC                                                                                                               XS0592005770                           11-Feb-2021               Float                        Financial Sub                        4.00%           4I75AUAF8
ING Bank N.V.                                                                                                              USN4578BLH51                            01-May-2015             5.125%                         Financial Sub                        4.00%          48DGFEAJ2
INTESA SANPAOLO SPA                                                                                                         XS0452166324                           23-Sep-2019             5.000%                         Financial Sub                        4.00%           TYA56DAI9
LLOYDS TSB BANK PLC                                                                                                         XS0195762991                            09-Jul-2025            5.750%                         Financial Sub                        4.00%          GKB86OAG6
Muenchener Rueckversicherungs-Gesellschaft Aktiengesellschaft in Muenchen                                                   XS0167260529                           21-Jun-2028             7.625%              European Subordinated Insurer                   4.00%          687DNGAE1
SOCIETE GENERALE                                                                                                            XS0110673950                           27-Apr-2015             6.625%                         Financial Sub                        4.00%           8B69APAA4
STANDARD CHARTERED BANK                                                                                                     XS0355789271                           03-Apr-2018             7.750%                         Financial Sub                        4.00%           8D8575AF3
Swiss Reinsurance Company Ltd                                                                                               XS0138467401                           21-Nov-2021             3.250%              European Subordinated Insurer                   4.00%          HOB65NAB5
The Royal Bank of Scotland public limited company                                                                           XS0356705219                           09-Apr-2018             6.934%                         Financial Sub                        4.00%          GNDEGIAE2
UBS AG                                                                                                                     US87083KAM45                            15-Jun-2017             7.375%                         Financial Sub                        4.00%          HPHB2JAH4
UNICREDIT, SOCIETA PER AZIONI                                                                                               XS0200676160                           22-Sep-2019             4.500%                         Financial Sub                        4.00%           T2F69ZAA7
Zurich Insurance Company Ltd                                                                                                XS0177601811                           02-Oct-2023             5.750%              European Subordinated Insurer                   4.00%          HQHEFUAB0

October 30, 2013: The EMEA Credit Derivatives Determinations Committee determined that the obligation with ISIN number XS0802638642 is a Substitute Reference Obligation in respect of the Reference Obligation
with ISIN number XS0114165276, for the purposes of CDS trades with Assicurazioni Generali S.p.A. as a Reference Entity.




Nothing in the following statements shall act in any way to amend, override or otherwise prejudice the rights and obligations under any present or future license from (i) iBoxx Limited, (ii) TRAC-X LLC, (iii) Markit Group Limited or their respective predecessors and successors.


This annex, and the data contained herein, is the proprietary property of Markit Group Limited and may be used only for informational purposes in connection with the confirmation of this index trade. Unless you are in possession of a valid license, you may not (i) extract the data
contained in the annex, (ii) copy, share, sell, distribute, redistribute, or otherwise make available to any other party this annex, or the data contained herein, or (iii) use the index or the data contained herein in any other manner, including but not limited to in furtherance of trade
confirmations or for other internal or external business purposes. To obtain a license, please contact Markit Group on +44 (0)1727 734265 or info@Markit.com. The senders and recipients of this data acknowledge and agree that no duty of care is owed to them or to any other
users by any Data Provider, and that use of the data creates no lawyer-client relationship between the user and/or any other user, and any Data Provider.
"Data Provider" means those persons who developed, compiled, prepared, revised, selected and arranged the Services (including without limitation certain information sources, professional advisors and other persons or entities that have participated in any respect in the
development or collection of the Services or any data or information contained therein)."

NEITHER MARKIT GROUP LIMITED, ITS AFFILIATES NOR ANY DATA PROVIDER OR OTHER PERSON OR ENTITY MAKES ANY WARRANTY, EXPRESS OR IMPLIED, AS TO RESULTS TO BE ATTAINED BY SUBSCRIBER OR OTHERS FROM THE USE OF THIS
DOCUMENT, AND THERE ARE NO EXPRESS OR IMPLIED WARRANTIES OF CONDITION OF QUALITY OR ANY EXPRESS OR IMPLIED WARRANTY OF TITLE, NON-INFRINGEMENT, MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE OR USE. BY
USE OF THIS DOCUMENT, YOU ACKNOWLEDGE THAT YOU HAVE NOT RELIED UPON ANY WARRANTY, GUARANTY OR REPRESENTATION MADE BY MARKIT GROUP LIMITED OR ANY OTHER PERSON OR ENTITY.


NEITHER MARKIT GROUP LIMITED, ITS AFFILIATES NOR ANY OTHER PERSON OR ENTITY SHALL IN ANY WAY BE LIABLE TO THE USER OF THIS DOCUMENT OR ANY CLIENT OF SUCH USER FOR ANY INACCURACIES, ERRORS OR OMISSIONS,
REGARDLESS OF CAUSE, IN THE INFORMATION AVAILABLE ON THIS DOCUMENT OR FOR ANY DAMAGES (WHETHER DIRECT OR INDIRECT) RESULTING THEREFROM. UNDER NO CIRCUMSTANCES WILL MARKIT GROUP LIMITED BE LIABLE FOR ANY
INDIRECT, INCIDENTAL, SPECIAL, CONSEQUENTIAL OR LOST PROFITS DAMAGES WITH RESPECT TO THE USE OF THIS DOCUMENT OR THE INFORMATION AVAILABLE HEREIN, REGARDLESS OF WHETHER SUCH DAMAGES COULD HAVE BEEN
FORESEEN OR PREVENTED.

